INFO:Training.base_trainer:Wandb set up. Run ID: pvknq1zf
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 1700 | Train Loss: 2.55628991 | Val Loss: 2.55923319 | (Val P_bh MSE: 1.151272)
INFO:Training.base_trainer:Epoch 1710 | Train Loss: 2.52129245 | Val Loss: 2.52509689 | (Val P_bh MSE: 1.138828)
INFO:Training.base_trainer:Epoch 1720 | Train Loss: 2.48632145 | Val Loss: 2.49100542 | (Val P_bh MSE: 1.126391)
INFO:Training.base_trainer:Epoch 1730 | Train Loss: 2.45141554 | Val Loss: 2.45699787 | (Val P_bh MSE: 1.113968)
INFO:Training.base_trainer:Epoch 1740 | Train Loss: 2.41661501 | Val Loss: 2.42311406 | (Val P_bh MSE: 1.101569)
INFO:Training.base_trainer:Epoch 1750 | Train Loss: 2.38196135 | Val Loss: 2.38939524 | (Val P_bh MSE: 1.089197)
INFO:Training.base_trainer:Epoch 1760 | Train Loss: 2.34749532 | Val Loss: 2.35588479 | (Val P_bh MSE: 1.076861)
INFO:Training.base_trainer:Epoch 1770 | Train Loss: 2.31326056 | Val Loss: 2.32262230 | (Val P_bh MSE: 1.064567)
INFO:Training.base_trainer:Epoch 1780 | Train Loss: 2.27929831 | Val Loss: 2.28965116 | (Val P_bh MSE: 1.052322)
INFO:Training.base_trainer:Epoch 1790 | Train Loss: 2.24565101 | Val Loss: 2.25701261 | (Val P_bh MSE: 1.040132)
INFO:Training.base_trainer:Epoch 1800 | Train Loss: 2.21236038 | Val Loss: 2.22474647 | (Val P_bh MSE: 1.028003)
INFO:Training.base_trainer:Epoch 1810 | Train Loss: 2.17946601 | Val Loss: 2.19289255 | (Val P_bh MSE: 1.015942)
INFO:Training.base_trainer:Epoch 1820 | Train Loss: 2.14700747 | Val Loss: 2.16148829 | (Val P_bh MSE: 1.003954)
INFO:Training.base_trainer:Epoch 1830 | Train Loss: 2.11502218 | Val Loss: 2.13057041 | (Val P_bh MSE: 0.992045)
INFO:Training.base_trainer:Epoch 1840 | Train Loss: 2.08354545 | Val Loss: 2.10017157 | (Val P_bh MSE: 0.980222)
INFO:Training.base_trainer:Epoch 1850 | Train Loss: 2.05261064 | Val Loss: 2.07032442 | (Val P_bh MSE: 0.968492)
INFO:Training.base_trainer:Epoch 1860 | Train Loss: 2.02224922 | Val Loss: 2.04105759 | (Val P_bh MSE: 0.956860)
INFO:Training.base_trainer:Epoch 1870 | Train Loss: 1.99248922 | Val Loss: 2.01239705 | (Val P_bh MSE: 0.945333)
INFO:Training.base_trainer:Epoch 1880 | Train Loss: 1.96335626 | Val Loss: 1.98436642 | (Val P_bh MSE: 0.933921)
INFO:Training.base_trainer:Epoch 1890 | Train Loss: 1.93487370 | Val Loss: 1.95698667 | (Val P_bh MSE: 0.922629)
INFO:Training.base_trainer:Epoch 1900 | Train Loss: 1.90706146 | Val Loss: 1.93027544 | (Val P_bh MSE: 0.911467)
INFO:Training.base_trainer:Epoch 1910 | Train Loss: 1.87993693 | Val Loss: 1.90424669 | (Val P_bh MSE: 0.900442)
INFO:Training.base_trainer:Epoch 1920 | Train Loss: 1.85351455 | Val Loss: 1.87891316 | (Val P_bh MSE: 0.889565)
INFO:Training.base_trainer:Epoch 1930 | Train Loss: 1.82780540 | Val Loss: 1.85428309 | (Val P_bh MSE: 0.878843)
