INFO:Training.base_trainer:Wandb set up. Run ID: ryhsy9rb
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 1070 | Train Loss: 3.79419875 | Val Loss: 3.75016165 | (Val P_bh MSE: 1.634139)
INFO:Training.base_trainer:Epoch 1080 | Train Loss: 3.75547290 | Val Loss: 3.71208715 | (Val P_bh MSE: 1.620495)
INFO:Training.base_trainer:Epoch 1090 | Train Loss: 3.71653676 | Val Loss: 3.67381310 | (Val P_bh MSE: 1.606693)
INFO:Training.base_trainer:Epoch 1100 | Train Loss: 3.67738008 | Val Loss: 3.63532996 | (Val P_bh MSE: 1.592727)
INFO:Training.base_trainer:Epoch 1110 | Train Loss: 3.63799381 | Val Loss: 3.59662676 | (Val P_bh MSE: 1.578586)
INFO:Training.base_trainer:Epoch 1120 | Train Loss: 3.59836793 | Val Loss: 3.55769563 | (Val P_bh MSE: 1.564260)
INFO:Training.base_trainer:Epoch 1130 | Train Loss: 3.55849409 | Val Loss: 3.51852751 | (Val P_bh MSE: 1.549740)
INFO:Training.base_trainer:Epoch 1140 | Train Loss: 3.51836205 | Val Loss: 3.47911382 | (Val P_bh MSE: 1.535015)
INFO:Training.base_trainer:Epoch 1150 | Train Loss: 3.47796392 | Val Loss: 3.43944454 | (Val P_bh MSE: 1.520076)
INFO:Training.base_trainer:Epoch 1160 | Train Loss: 3.43728852 | Val Loss: 3.39951205 | (Val P_bh MSE: 1.504912)
INFO:Training.base_trainer:Epoch 1170 | Train Loss: 3.39632726 | Val Loss: 3.35930634 | (Val P_bh MSE: 1.489512)
INFO:Training.base_trainer:Epoch 1180 | Train Loss: 3.35506797 | Val Loss: 3.31881762 | (Val P_bh MSE: 1.473866)
INFO:Training.base_trainer:Epoch 1190 | Train Loss: 3.31350017 | Val Loss: 3.27803612 | (Val P_bh MSE: 1.457962)
INFO:Training.base_trainer:Epoch 1200 | Train Loss: 3.27161074 | Val Loss: 3.23695064 | (Val P_bh MSE: 1.441790)
INFO:Training.base_trainer:Epoch 1210 | Train Loss: 3.22938681 | Val Loss: 3.19554925 | (Val P_bh MSE: 1.425339)
INFO:Training.base_trainer:Epoch 1220 | Train Loss: 3.18681431 | Val Loss: 3.15382028 | (Val P_bh MSE: 1.408598)
INFO:Training.base_trainer:Epoch 1230 | Train Loss: 3.14387965 | Val Loss: 3.11175108 | (Val P_bh MSE: 1.391554)
INFO:Training.base_trainer:Epoch 1240 | Train Loss: 3.10056710 | Val Loss: 3.06932926 | (Val P_bh MSE: 1.374197)
INFO:Training.base_trainer:Epoch 1250 | Train Loss: 3.05686355 | Val Loss: 3.02654314 | (Val P_bh MSE: 1.356514)
INFO:Training.base_trainer:Epoch 1260 | Train Loss: 3.01275373 | Val Loss: 2.98338103 | (Val P_bh MSE: 1.338493)
INFO:Training.base_trainer:Epoch 1270 | Train Loss: 2.96822572 | Val Loss: 2.93983221 | (Val P_bh MSE: 1.320119)
INFO:Training.base_trainer:Epoch 1280 | Train Loss: 2.92326760 | Val Loss: 2.89588809 | (Val P_bh MSE: 1.301381)
INFO:Training.base_trainer:Epoch 1290 | Train Loss: 2.87787104 | Val Loss: 2.85154176 | (Val P_bh MSE: 1.282263)
INFO:Training.base_trainer:Epoch 1300 | Train Loss: 2.83202958 | Val Loss: 2.80679011 | (Val P_bh MSE: 1.262751)
INFO:Training.base_trainer:Epoch 1310 | Train Loss: 2.78574133 | Val Loss: 2.76163316 | (Val P_bh MSE: 1.242829)
INFO:Training.base_trainer:Epoch 1320 | Train Loss: 2.73900962 | Val Loss: 2.71607637 | (Val P_bh MSE: 1.222486)
INFO:Training.base_trainer:Epoch 1330 | Train Loss: 2.69184375 | Val Loss: 2.67013073 | (Val P_bh MSE: 1.201708)
INFO:Training.base_trainer:Epoch 1340 | Train Loss: 2.64426184 | Val Loss: 2.62381482 | (Val P_bh MSE: 1.180487)
INFO:Training.base_trainer:Epoch 1350 | Train Loss: 2.59629178 | Val Loss: 2.57715797 | (Val P_bh MSE: 1.158816)
INFO:Training.base_trainer:Epoch 1360 | Train Loss: 2.54797220 | Val Loss: 2.53019905 | (Val P_bh MSE: 1.136696)
INFO:Training.base_trainer:Epoch 1370 | Train Loss: 2.49935675 | Val Loss: 2.48299026 | (Val P_bh MSE: 1.114134)
INFO:Training.base_trainer:Epoch 1380 | Train Loss: 2.45051384 | Val Loss: 2.43560004 | (Val P_bh MSE: 1.091143)
INFO:Training.base_trainer:Epoch 1390 | Train Loss: 2.40152884 | Val Loss: 2.38811111 | (Val P_bh MSE: 1.067749)
INFO:Training.base_trainer:Epoch 1400 | Train Loss: 2.35250497 | Val Loss: 2.34062719 | (Val P_bh MSE: 1.043987)
INFO:Training.base_trainer:Epoch 1410 | Train Loss: 2.30356622 | Val Loss: 2.29326630 | (Val P_bh MSE: 1.019902)
INFO:Training.base_trainer:Epoch 1420 | Train Loss: 2.25485206 | Val Loss: 2.24616671 | (Val P_bh MSE: 0.995552)
INFO:Training.base_trainer:Epoch 1430 | Train Loss: 2.20652056 | Val Loss: 2.19948125 | (Val P_bh MSE: 0.971005)
INFO:Training.base_trainer:Epoch 1440 | Train Loss: 2.15874243 | Val Loss: 2.15337729 | (Val P_bh MSE: 0.946343)
INFO:Training.base_trainer:Epoch 1450 | Train Loss: 2.11169910 | Val Loss: 2.10802913 | (Val P_bh MSE: 0.921655)
INFO:Training.base_trainer:Epoch 1460 | Train Loss: 2.06557608 | Val Loss: 2.06361699 | (Val P_bh MSE: 0.897043)
INFO:Training.base_trainer:Epoch 1470 | Train Loss: 2.02055693 | Val Loss: 2.02031779 | (Val P_bh MSE: 0.872611)
INFO:Training.base_trainer:Epoch 1480 | Train Loss: 1.97681689 | Val Loss: 1.97829854 | (Val P_bh MSE: 0.848468)
INFO:Training.base_trainer:Epoch 1490 | Train Loss: 1.93451440 | Val Loss: 1.93770993 | (Val P_bh MSE: 0.824721)
INFO:Training.base_trainer:Epoch 1500 | Train Loss: 1.89378619 | Val Loss: 1.89944470 | (Val P_bh MSE: 0.801935)
INFO:Training.base_trainer:Epoch 1510 | Train Loss: 1.86244440 | Val Loss: 1.86942041 | (Val P_bh MSE: 0.783769)
INFO:Training.base_trainer:Epoch 1520 | Train Loss: 1.83223832 | Val Loss: 1.84050179 | (Val P_bh MSE: 0.766031)
INFO:Training.base_trainer:Epoch 1530 | Train Loss: 1.80315959 | Val Loss: 1.81268430 | (Val P_bh MSE: 0.748745)
INFO:Training.base_trainer:Epoch 1540 | Train Loss: 1.77521062 | Val Loss: 1.78596950 | (Val P_bh MSE: 0.731938)
INFO:Training.base_trainer:Epoch 1550 | Train Loss: 1.74838960 | Val Loss: 1.76035261 | (Val P_bh MSE: 0.715632)
INFO:Training.base_trainer:Epoch 1560 | Train Loss: 1.72268462 | Val Loss: 1.73581982 | (Val P_bh MSE: 0.699845)
INFO:Training.base_trainer:Epoch 1570 | Train Loss: 1.69807518 | Val Loss: 1.71234953 | (Val P_bh MSE: 0.684590)
INFO:Training.base_trainer:Epoch 1580 | Train Loss: 1.67453229 | Val Loss: 1.68991053 | (Val P_bh MSE: 0.669869)
INFO:Training.base_trainer:Epoch 1590 | Train Loss: 1.65202034 | Val Loss: 1.66846633 | (Val P_bh MSE: 0.655683)
INFO:Training.base_trainer:Epoch 1600 | Train Loss: 1.63049793 | Val Loss: 1.64797425 | (Val P_bh MSE: 0.642026)
INFO:Training.base_trainer:Epoch 1610 | Train Loss: 1.60992026 | Val Loss: 1.62838960 | (Val P_bh MSE: 0.628887)
INFO:Training.base_trainer:Epoch 1620 | Train Loss: 1.59024048 | Val Loss: 1.60966575 | (Val P_bh MSE: 0.616254)
INFO:Training.base_trainer:Epoch 1630 | Train Loss: 1.57141078 | Val Loss: 1.59175456 | (Val P_bh MSE: 0.604110)
INFO:Training.base_trainer:Epoch 1640 | Train Loss: 1.55338359 | Val Loss: 1.57460856 | (Val P_bh MSE: 0.592438)
INFO:Training.base_trainer:Epoch 1650 | Train Loss: 1.53611207 | Val Loss: 1.55818176 | (Val P_bh MSE: 0.581218)
INFO:Training.base_trainer:Epoch 1660 | Train Loss: 1.51955092 | Val Loss: 1.54242969 | (Val P_bh MSE: 0.570430)
INFO:Training.base_trainer:Epoch 1670 | Train Loss: 1.50365734 | Val Loss: 1.52730894 | (Val P_bh MSE: 0.560054)
INFO:Training.base_trainer:Epoch 1680 | Train Loss: 1.48838913 | Val Loss: 1.51277983 | (Val P_bh MSE: 0.550071)
INFO:Training.base_trainer:Epoch 1690 | Train Loss: 1.47370839 | Val Loss: 1.49880338 | (Val P_bh MSE: 0.540461)
INFO:Training.base_trainer:Epoch 1700 | Train Loss: 1.45957804 | Val Loss: 1.48534489 | (Val P_bh MSE: 0.531207)
INFO:Training.base_trainer:Epoch 1710 | Train Loss: 1.44596434 | Val Loss: 1.47237003 | (Val P_bh MSE: 0.522289)
INFO:Training.base_trainer:Epoch 1720 | Train Loss: 1.43283534 | Val Loss: 1.45984900 | (Val P_bh MSE: 0.513691)
INFO:Training.base_trainer:Epoch 1730 | Train Loss: 1.42016196 | Val Loss: 1.44775200 | (Val P_bh MSE: 0.505398)
INFO:Training.base_trainer:Epoch 1740 | Train Loss: 1.40791714 | Val Loss: 1.43605387 | (Val P_bh MSE: 0.497394)
INFO:Training.base_trainer:Epoch 1750 | Train Loss: 1.39607501 | Val Loss: 1.42472959 | (Val P_bh MSE: 0.489665)
INFO:Training.base_trainer:Epoch 1760 | Train Loss: 1.38461328 | Val Loss: 1.41375732 | (Val P_bh MSE: 0.482199)
INFO:Training.base_trainer:Epoch 1770 | Train Loss: 1.37350988 | Val Loss: 1.40311658 | (Val P_bh MSE: 0.474982)
INFO:Training.base_trainer:Epoch 1780 | Train Loss: 1.36274588 | Val Loss: 1.39278841 | (Val P_bh MSE: 0.468004)
INFO:Training.base_trainer:Epoch 1790 | Train Loss: 1.35230291 | Val Loss: 1.38275611 | (Val P_bh MSE: 0.461253)
INFO:Training.base_trainer:Epoch 1800 | Train Loss: 1.34216464 | Val Loss: 1.37300372 | (Val P_bh MSE: 0.454719)
INFO:Training.base_trainer:Epoch 1810 | Train Loss: 1.33231533 | Val Loss: 1.36351693 | (Val P_bh MSE: 0.448392)
INFO:Training.base_trainer:Epoch 1820 | Train Loss: 1.32274127 | Val Loss: 1.35428250 | (Val P_bh MSE: 0.442264)
INFO:Training.base_trainer:Epoch 1830 | Train Loss: 1.31342936 | Val Loss: 1.34528875 | (Val P_bh MSE: 0.436326)
INFO:Training.base_trainer:Epoch 1840 | Train Loss: 1.30436754 | Val Loss: 1.33652377 | (Val P_bh MSE: 0.430570)
INFO:Training.base_trainer:Epoch 1850 | Train Loss: 1.29554462 | Val Loss: 1.32797790 | (Val P_bh MSE: 0.424987)
INFO:Training.base_trainer:Epoch 1860 | Train Loss: 1.28695071 | Val Loss: 1.31964171 | (Val P_bh MSE: 0.419572)
INFO:Training.base_trainer:Epoch 1870 | Train Loss: 1.27857578 | Val Loss: 1.31150556 | (Val P_bh MSE: 0.414317)
INFO:Training.base_trainer:Epoch 1880 | Train Loss: 1.27041066 | Val Loss: 1.30356228 | (Val P_bh MSE: 0.409216)
INFO:Training.base_trainer:Epoch 1890 | Train Loss: 1.26244760 | Val Loss: 1.29580307 | (Val P_bh MSE: 0.404263)
INFO:Training.base_trainer:Epoch 1900 | Train Loss: 1.25467825 | Val Loss: 1.28822148 | (Val P_bh MSE: 0.399451)
INFO:Training.base_trainer:Epoch 1910 | Train Loss: 1.24709487 | Val Loss: 1.28081095 | (Val P_bh MSE: 0.394776)
INFO:Training.base_trainer:Epoch 1920 | Train Loss: 1.23969090 | Val Loss: 1.27356422 | (Val P_bh MSE: 0.390232)
INFO:Training.base_trainer:Epoch 1930 | Train Loss: 1.23245943 | Val Loss: 1.26647604 | (Val P_bh MSE: 0.385815)
